系统,设备,故障现象,故障原因,原因归类,部件,隐患等级,监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,轴系质量不平衡,检修不良,转子,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,对轮不同心,检修不良,对轮,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,转子弯曲,检修不良,转子,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,轴承顶隙过大、瓦盖紧力偏小或垫铁接触不良,检修不良,轴承,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,对轮晃度、飘偏度超标,检修不良,对轮,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,转子裂纹或叶片断裂,制造不良,转子,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,动静碰磨,检修不良,转子,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,轴承座支撑刚度不足,检修不良,轴承座,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,对轮螺栓松动,检修不良,螺栓,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,汽轮机膨胀不畅,检修不良,滑销系统,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,顺序阀设置不当,设计不良,顺序阀,设备缺陷,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴承振动大,上下缸温差大,运行不当,汽缸,子分公司级隐患,安全完整性分析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,瓦块乌金脱胎或损坏,检修不良,轴瓦,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,瓦块接触面积小,检修不良,瓦块,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,轴瓦承载过重,检修不良,轴瓦,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,润滑油压力低,检修不良,油箱,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,润滑油供油温度高,检修不良,冷油器,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,轴瓦间隙不合格,检修不良,轴承,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,顺序阀设置不当,检修不良,顺序阀,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机径向瓦温度高,油质不合格,检修不良,润滑油,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,瓦块乌金脱胎或损坏,检修不良,瓦块,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,润滑油压力低,检修不良,油箱,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,润滑油供油温度高,检修不良,冷油器,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,轴瓦间隙不合格,检修不良,轴承,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,推力瓦块厚度偏差大、接触面积不够,检修不良,推力瓦块,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,推力盘飘偏严重超标,检修不良,推力盘,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机推力瓦温度高,油质不合格,检修不良,油箱,子分公司级隐患,多元函数解析监测技术
汽轮机本体及疏水系统,汽轮机本体,汽轮机轴向位移大,推力盘推力间隙偏大,检修不良,推力盘,厂级隐患,自适应观测器监测技术
